Disc,journal,title,vol,year,,issue,pages,PageFrom,PageTp,url,abstract,Author,A1Delim,A2Delim,A3Delim,A4Delim,A5Delim,A6Delim,A7Delim,A8Delim,A9Delim,Auth1,Auth2,Auth3,Auth4,Auth5,Auth6,Auth7,Auth8,Auth9,PgDelim,PgFrom,PgTo,X
6,Academy of Management Learning {\&} Education,The End of the MBA as We Know It?,2,2003,,4,365--367,NA,NA,10.5465/AMLE.2003.11901960 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901960{\&}site=ehost-live{\&}scope=site,presents examined usefulness mba program school salaries rates return school graduates suggest mba fact outlived usefulness issue casting doubt rate return mba degree represents signal potential employers may increase employee productivity argued increase earnings derives human capital investment also pure differences personal ability increased earnings people mba degrees partly attributed innate differences abilities schooling expected rate return mba still high recently declined new graduates mba degrees reporting fewer jobs upon graduation predecessors given sluggish economy bleak years may store mba holders bright side economic slowdown lowered opportunity cost mba wages opportunities outside school enticing robust economy furthermore interest costs borrowing financial mba historic lows,"Connolly, Michael",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Connolly, Michael",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,365,367,
6,Academy of Management Learning {\&} Education,Neither Limitations Nor Process Theories Refute the Contradictions Between Theories and Management Education: Reply to Watson and Chiles.,2,2003,,3,292--295,NA,NA,10.5465/AMLE.2003.10932151 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932151{\&}site=ehost-live{\&}scope=site,presents author response arguments made andrew watson todd chiles school professors refute contradictions theories contradictions assumptions contribution social science emphasis practical activities,"Donaldson, Lex",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Donaldson, Lex",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,292,295,
6,Academy of Management Learning {\&} Education,Why the Partnership Model's Usefulness Far Exceeds That of the Client Model: Reply to Armstrong.,2,2003,,4,375--377,NA,NA,10.5465/AMLE.2003.11901966 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901966{\&}site=ehost-live{\&}scope=site,compares client modeling partnership modeling client modeling fails comparison partnership modeling several significant ways example major problem client modeling implies professor knowledge expertise challenge get knowledge expertise client satisfactory way hand junior partner modeling focuses attention partnership faculty looking personal growth development words partnership modeling puts focus joint within junior senior partner framework whereas client modeling ignores professional growth part faculty member equally partnership modeling sees helping learn learn sum partnership modeling implies ideal nevertheless stems client modeling ignores sense ideal falling considerably short describing thus latter value instrumental diminished,"Ferris, William P",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Ferris, William P",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,375,377,
6,Academy of Management Learning {\&} Education,Changes in Graduate Management Education and New Business School Strategies for the 21st Century.,2,2003,,3,233--249,NA,NA,10.5465/AMLE.2003.10932123 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932123{\&}site=ehost-live{\&}scope=site,examine strategic options school noting within next years major changes demand supply likely educator need develop careful strategies consider drivers change globalization disruptive technologies demographic shifts deregulation compare industry transformations healthcare financial services airlines developing situation suggest changes strategic elements industry primary market products partnerships discuss changes author,"Friga, Paul N; Bettis, Richard A; Sullivan, Robert S",14,33,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Friga, Paul N","Bettis, Richard A","Sullivan, Robert S",-x-,-x-,-x-,-x-,-x-,-x-,4,233,249,
6,Academy of Management Learning {\&} Education,Searching for a Strategy to Teach Strategy.,2,2003,,4,402--420,NA,NA,10.5465/AMLE.2003.11902092 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11902092{\&}site=ehost-live{\&}scope=site,contend content required mba strategic course top tier school moved away interdisciplinary thinking practice toward almost exclusive emphasis theory accepted harvard modeling capstone integration now much less vogue consequently strategic today tend experience rather strategic presented limited prism theoretical discipline even discussions often guided confirm utility particular theoretical framework instead serving open ended problem solutions presenting evidence arguments current trend present examples mba program give emphasis practice including usc executive mba program priority placed integration implementation without sacrificing believe essential theories analytical skills finally explore additional solutions strategic contexts author,"Greiner, Larry E; Bhambri, Arvind; Cummings, Thomas G",17,34,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Greiner, Larry E","Bhambri, Arvind","Cummings, Thomas G",-x-,-x-,-x-,-x-,-x-,-x-,4,402,420,
6,Academy of Management Learning {\&} Education,Four Territories of Experience: A Developmental Action Inquiry Approach to Outdoor-Adventure Experiential Learning.,2,2003,,4,352--363,NA,NA,10.5465/AMLE.2003.11901956 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901956{\&}site=ehost-live{\&}scope=site,one major challenge closing gap thinking practical application propose way enhance value outdoor adventure experiential organizational training development efforts using developmental action inquiry provides researchers practitioners four territories organizational experience performing assessing visioning strategizing holistic awareness crucial individual organizational transformation framework resulting combination insights developmental action inquiry generative metaphor intervention applied outdoor adventure forms experiential illustrate theoretical practical benefits integrated author,"Meyer, John P",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Meyer, John P",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,352,363,
6,Academy of Management Learning {\&} Education,"The Rated Importance, Scientific Validity, and Practical Usefulness of Organizational Behavior Theories: A Quantitative Review.",2,2003,,3,250--268,NA,NA,10.5465/AMLE.2003.10932132 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932132{\&}site=ehost-live{\&}scope=site,analyze rated importance extent recognition validity usefulness established organizational behavior theories differentiating views judges expertise organizational behavior strategic results indicate increasingly mature science many positive relationships among variables considered existed previously major activities textbook writing organizational behavior course design indicate theories stressed given minimal attention different levels educational process author,"Miner, John B",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Miner, John B",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,250,268,
6,Academy of Management Learning {\&} Education,Instructional Methods and Mental Models of Students: An Empirical Investigation.,2,2003,,4,335--351,NA,NA,10.5465/AMLE.2003.11901953 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901953{\&}site=ehost-live{\&}scope=site,explore differences mental modeling exposed three instructional organizational behavior course lecture experiential hybrid lecture experiential integrated hybrid exploit synergy best features two results suggest hybrid group complex mental modeling exposed either lecture experiential discussed author,"Nadkarni, Sucheta",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Nadkarni, Sucheta",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,335,351,
6,Academy of Management Learning {\&} Education,Behavioral Coursework in Business Education: Growing Evidence of a Legitimacy Crisis.,2,2003,,3,269--283,NA,NA,10.5465/AMLE.2003.10932135 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932135{\&}site=ehost-live{\&}scope=site,recruiters generally report seeking hire well rounded technical knowledge skills also behavioral ones however appear somewhat skeptical claim one reason skepticism may attention recruiter signals concerning importance behavioral knowledge skills recruitment selection process attempt determine whether addition significant behavioral coursework portfolio enhances recruiters assessments employability conducted two studies using different methodologies results showed asked directly preferences clear majority recruiters indicated preferred graduates supplemented functional area financial accounting coursework equivalent amounts behavioral coursework however evaluating resumes recruiters gave employability ratings took functional course focused functional behavioral course results discussed context growing evidence behavioral science regarded marginal topic author,"Rynes, Sara L; Trank, Christine Quinn; Lawson, Anne M; Ilies, Remus",14,38,54,-9,#N/A,#N/A,#N/A,#N/A,#N/A,"Rynes, Sara L","Trank, Christine Quinn","Lawson, Anne M","Ilies, Remus",-x-,-x-,-x-,-x-,-x-,4,269,283,
6,Academy of Management Learning {\&} Education,360-Degree Assessment: Time for Reinvention.,2,2003,,3,297--311,NA,NA,10.5465/AMLE.2003.10932156 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932156{\&}site=ehost-live{\&}scope=site,one popular development tool today degree assessment instrument years however popularity led uses beyond original application development particular degree assessment now replacing traditional performance appraisal trend toward multiple uses especially administrative ones raise concerns discuss particular focus dilemmas created feedback tool stretched include potentially conflicting aims carry three levels individual interpersonal organizational using three frames cognitive psychometric game theoretical leads conclusion multiple purposes degree assessment danger losing efficacy process deliver honest constructive feedback suggest time reinvention tool process methodology particular argue development two distinct tool one development one performance feedback development tool rely heavily upon qualitative feedback competences development performance appraisal feedback tool around quantitative feedback measuring performance author,"Toegel, Ginka; Conger, Jay A",14,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Toegel, Ginka","Conger, Jay A",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,297,311,
6,Academy of Management Learning {\&} Education,"Coping With Limitations Rather Than Preaching Damnation: Comments on Donaldson's Account of Contradictions Between Theories and Management Education"".""",2,2003,,3,285--287,NA,NA,10.5465/AMLE.2003.10932143 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932143{\&}site=ehost-live{\&}scope=site,presents author comments argument account contradictions theories posed lex donaldson school professor essence donaldson argument acknowledgment educational limitations influence several variables managerial,"Watson, Andrew",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Watson, Andrew",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,285,287,
6,Academy of Management Learning {\&} Education,The Effects of Cognitive Style on Research Supervision: A Study of Student-Supervisor Dyads in Management Education.,3,2004,,1,41--63,NA,NA,10.5465/AMLE.2004.12436818 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436818{\&}site=ehost-live{\&}scope=site,although attention paid many aspects one seriously overlooked facet process supervision graduate undergraduate levels suggests relationship supervisor significant predictor success failure independent project one personality variable shown partly responsible shaping overall relationships cognitive style defined consistent individual differences perceive organize process information solve problem learn relate others examined effects differences similarities analytic intuitive dimension cognitive style supervision process data collected partners dyadic relationships comprising supervisor undertaking major project suggest analytic supervisors perceived significantly nurturing less dominant intuitive counterparts indicating degree closeness relationships led increased liking relationship significantly performance effects highest dyads whose supervisors analytic author,"Armstrong, Steven J; Allinson, Christopher W; Hayes, John",20,45,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Armstrong, Steven J","Allinson, Christopher W","Hayes, John",-x-,-x-,-x-,-x-,-x-,-x-,3,41,63,
6,Academy of Management Learning {\&} Education,Educating Rita.,3,2004,,2,197,NA,NA,10.5465/AMLE.2004.13500509 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=13500509{\&}site=ehost-live{\&}scope=site,examines relation motion picture educating rita educating rita among things cautionary tale disciplinary standards homogenize sterilize newcomers insight precisely art bedeian peerreview process asserts peerreview also among powerful socializing devices exercised school thus central educating professoriate bedeian always provocateur follows simple logic make profound point begin knowledge socially constructed although relevant literature admirably reviewed new proposition takes special poignancy peerreview considered process undeniably social nature negotiations among author referees editors certainly result tailored knowledge claims sure peerreview protects broadly accepted standards four fewer arbitrators make representative sample likelihood idiosyncratic interests seeping enormous bedeian claims result often violation authorial voice author set say compromised sometimes beyond recognition bedeian concludes ten rectifying recommendations greater footnotes publishing referee comments meaningful formal appeal procedure reasonably instituted journal,"Bailey, James R",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bailey, James R",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,#N/A,197,-x-,
6,Academy of Management Learning {\&} Education,Navigating the Cultural Breach.,3,2004,,1,99,NA,NA,10.5465/AMLE.2004.12436825 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436825{\&}site=ehost-live{\&}scope=site,comments chris earley randall peterson challenge traditional intercultural training program extend concept cultural intelligence explore educating global manager began critiquing customary conventional international training problem uncommon training venues one stop shopping philosophy treats participants identically overemphasizes informational components assumes uniform behavior cultural actors overrelies analogical reasoning earley peterson continued building work social emotional intelligence advance concept strength examination integrating metacognitive cognitive motivational behavioral dimensions along lines sternberg triarchic modeling offered innate static determinant one ability navigate complex cultural situations rather basis cognitive metacognitive motivational behavioral components successful intercultural adaptation apprehended consequently,"Bailey, James R",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bailey, James R",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,#N/A,99,-x-,
6,Academy of Management Learning {\&} Education,Grades as Money and the Role of the Market Metaphor in Management Education.,3,2004,,2,187--196,NA,NA,10.5465/AMLE.2004.13500516 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=13500516{\&}site=ehost-live{\&}scope=site,addresses grading one process pedagogical framework explore economic metaphor underlying grading practices shaped stakeholders perspectives meaning grades argued stakeholders interpret grades currency neatly quantifies permitting market comparisons exchange money metaphor objectifies economic metaphor effects educational process discussed intent increasing awareness metaphor metaphorical linkages money grades explained social criticisms money help explain money metaphor problematic domain reviewed main criticisms offered address intrinsic nonmaterial goals teacher relationship poorly represented grades money metaphor criticisms school addressed,"Beatty, Joy E",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Beatty, Joy E",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,187,196,
6,Academy of Management Learning {\&} Education,Peer Review and the Social Construction of Knowledge in the Management Discipline.,3,2004,,2,198--216,NA,NA,10.5465/AMLE.2004.13500489 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=13500489{\&}site=ehost-live{\&}scope=site,prior peerreview process almost exclusively focused surface features impartiality validity reliability received relatively less attention influence social component shapes content discipline published record turn determines scientific progress product social processes knowledge claims socially constituted rather products absolute truth taking sociology knowledge perspective argue social processes underlying peerreview process warrant closer scrutiny contend must balancing inevitable author editor referee tensions operating throughout editorial process ensure clear authorial voice preserved offer suggestions assuring integrity scientific enterprise respecting prerogatives ethics authorship author,"Bedeian, Arthur G",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bedeian, Arthur G",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,198,216,
6,Academy of Management Learning {\&} Education,The Gift of Professional Maturity.,3,2004,,1,92--98,NA,NA,10.5465/AMLE.2004.12436824 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436824{\&}site=ehost-live{\&}scope=site,provides personal perspective importance understanding history many reasons training careers scholars acquainted history discipline among lessons learned historical thinking ideas always product time place another profitable lesson doctoral will gain studying history thought advantage informed consumer received knowledge another lesson doctoral will learn studying history danger inherent relying secondary source material historical illiteracy may explain another lesson historical scholarship widely accepted facts often wrong also doctoral studying history will learn lesson dubbed special advantage past allows association superior minds author understanding historical development discipline whole binds various specialties compose modern,"Bedeian, Arthur G",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bedeian, Arthur G",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,92,98,
6,Academy of Management Learning {\&} Education,Training Undergraduates to Work in Organizational Teams.,3,2004,,1,27--40,NA,NA,10.5465/AMLE.2004.12436817 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436817{\&}site=ehost-live{\&}scope=site,organizational increasingly seeking candidates possessing high levels teamwork knowledge skills abilities ksas stevens campion yet despite greater emphasis settings developing ready workforce neil allerd baker enough done explicitly develop teamwork ksas school curricula describe school course intended develop teamwork ksas results quasi experimental evaluation demonstrate course significantly increased levels teamwork knowledge skills however course significantly improve teamwork related attitudes self efficacy discuss school work policies development teamwork ksas settings well directions future author,"Chen, Gilad; Donahue, Lisa M; Klimoski, Richard J",12,29,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Chen, Gilad","Donahue, Lisa M","Klimoski, Richard J",-x-,-x-,-x-,-x-,-x-,-x-,3,27,40,
6,Academy of Management Learning {\&} Education,Student Learning Motivation and Psychological Hardiness: Interactive Effects on Students' Reactions to a Management Class.,3,2004,,1,64--85,NA,NA,10.5465/AMLE.2004.12436819 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436819{\&}site=ehost-live{\&}scope=site,propose simultaneously considering combined effects motivation psychological hardiness increase understanding experience impact specifically hypothesized relationship motivation moderated individuals psychological hardiness collected data two studies first established psychometric properties newly developed scale second tested related hypotheses controlling socially desirable responding dispositional orientations hypothesized interaction participants initial motivation learn psychological hardiness explained differences participants postlearning motivation depressive symptomatology reactions experience assessed months later particular relevance anyone ever involved times example feel overwhelmed numerous responsibilities associated college result will suffer loss motivation perform even worse will experience severe state depressed mood consequently address concerns offer recommendations implemented universities circumvent detrimental author,"Cole, Michael S; Feild, Hubert S; Harris, Stanley G",16,33,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Cole, Michael S","Feild, Hubert S","Harris, Stanley G",-x-,-x-,-x-,-x-,-x-,-x-,3,64,85,
6,Academy of Management Learning {\&} Education,A Suspect MBA Selection Model: The Case Against the Standard Work Experience Requirement.,3,2004,,1,87--91,NA,NA,10.5465/AMLE.2004.12436822 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436822{\&}site=ehost-live{\&}scope=site,current selection processes many graduate school may seriously flawed need systematic evaluation improvement many master administration degree admission procedures collection criteria adopted perpetuated without serious consideration predictive validity requirement every group stake educating hiring mbas well potential mba strive understand program selection system work put place criteria accurately reflect desired mba admission system high quality best system organizational hiring graduates organizational systematically evaluate quality admission procedures associated school recruit mba level talent mba admission directors able clearly describe knowledge skills abilities admission processes target identified competency clear well thought measurement employers will likely find high quality admission program built sound footing program evaluation sign mba admission program high quality sensitive mba program curriculum mba program will improved investigators learn connections admission policies educational processes career success,"Dreher, George F; Ryan, Katherine C",17,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Dreher, George F","Ryan, Katherine C",-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,87,91,
6,Academy of Management Learning {\&} Education,The Elusive Cultural Chameleon: Cultural Intelligence as a New Approach to Intercultural Training for the Global Manager.,3,2004,,1,100--115,NA,NA,10.5465/AMLE.2004.12436826 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436826{\&}site=ehost-live{\&}scope=site,global economy shifting political tides make need intercultural understanding obvious historically focus intercultural training preparing individual work new culture today organizational routinely ask managers work multinational environments move country country challenge created strong debate prepare managers challenging assignment people assessed understand readiness assignment high intelligence quotient people adjust better others new cultural challenges topic cultural adjustment assessment remains compelling incomplete focus development exploration concept cultural intelligence earley earley ang along training global work assignment suggests training global manager include metacognitive motivational behavioral components represents significant break conventional wisdom focusing cultural values intercultural author,"Earley, P Christopher; Peterson, Randall S",22,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Earley, P Christopher","Peterson, Randall S",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,100,115,
