Disc,journal,title,year,vol,num,pages,PageFrom,PageTp,url,abstract,Author,A1Delim,A2Delim,A3Delim,A4Delim,A5Delim,A6Delim,A7Delim,A8Delim,A9Delim,Auth1,Auth2,Auth3,Auth4,Auth5,Auth6,Auth7,Auth8,Auth9,PgDelim,PgFrom,PgTo,
6,Academy of Management Learning {\&} Education,The End of the MBA as We Know It?,2003,2,4,365--367,,,10.5465/AMLE.2003.11901960 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901960{\&}site=ehost-live{\&}scope=site,"The article presents a study that examined the usefulness of MBA programs in business schools. The salaries and rates of return for recent business school graduates suggest that the MBA has not, in fact, outlived its usefulness. An issue casting doubt on the rate of return on the MBA is that the degree represents a signal to potential employers, but may not increase an employee's productivity. Some have argued that the increase in earnings derives not only from human capital investment, but also from pure differences in personal ability. The increased earnings of people with MBA degrees could be partly attributed to innate differences in abilities and not to schooling. The expected rate of return for an MBA, while still high, has recently declined. New graduates with MBA degrees are reporting fewer jobs upon graduation than their predecessors. Given the sluggish economy, a few more bleak years may be in store for MBA holders. On the bright side, the economic slowdown has lowered the opportunity cost of an MBA: Wages and opportunities outside of business school are not as enticing as during a robust economy. Furthermore, interest costs for borrowing to finance the MBA are at historic lows.","Connolly, Michael",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Connolly, Michael",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,365,367,
6,Academy of Management Learning {\&} Education,Neither Limitations Nor Process Theories Refute the Contradictions Between Theories and Management Education: Reply to Watson and Chiles.,2003,2,3,292--295,,,10.5465/AMLE.2003.10932151 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932151{\&}site=ehost-live{\&}scope=site,"Presents the author's response to arguments made by Andrew Watson and Todd Chiles, university professors, which refute the contradictions between theories and management education. Contradictions between assumptions in management education; Contribution of social science in management education; Emphasis on teaching practical management activities.","Donaldson, Lex",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Donaldson, Lex",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,292,295,
6,Academy of Management Learning {\&} Education,Why the Partnership Model's Usefulness Far Exceeds That of the Client Model: Reply to Armstrong.,2003,2,4,375--377,,,10.5465/AMLE.2003.11901966 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901966{\&}site=ehost-live{\&}scope=site,"The article compares the student-as-client model with the partnership model for business education. The student-as-client model fails in comparison to the partnership model in several significant ways. For example, a major problem with the student-as-client model is that it implies that the professor has all the knowledge and expertise, and the only challenge is to get that knowledge and expertise to the student-client in a satisfactory way. On the other hand, the student-as-junior-partner model focuses attention on learning as a partnership--both students and faculty are looking for personal growth and development. In other words, the partnership model puts the focus on joint learning within a junior-senior partner framework, whereas the client model ignores learning and professional growth on the part of the faculty member. Equally important, the partnership model sees education as helping students learn how to learn. In sum, the partnership model implies an ideal that nevertheless stems from the real. The client model ignores the sense of an ideal while falling considerably short in describing the real. Thus, the latter's value and instrumental use are diminished.","Ferris, William P",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Ferris, William P",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,375,377,
6,Academy of Management Learning {\&} Education,Changes in Graduate Management Education and New Business School Strategies for the 21st Century.,2003,2,3,233--249,,,10.5465/AMLE.2003.10932123 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932123{\&}site=ehost-live{\&}scope=site,"We examine strategic options for business schools, noting that within the next 10-20 years, major changes in the demand and supply of education are likely. Management educators need to develop careful strategies that consider the drivers of change such as globalization, disruptive technologies, demographic shifts, and deregulation. We compare industry transformations in healthcare, financial services, and the airlines with the developing situation in management education; suggest changes to strategic elements of management education industry, such as its primary markets, products, and partnerships; and discuss the implications of such changes. [ABSTRACT FROM AUTHOR]","Friga, Paul N; Bettis, Richard A; Sullivan, Robert S",14,33,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Friga, Paul N","Bettis, Richard A","Sullivan, Robert S",-x-,-x-,-x-,-x-,-x-,-x-,4,233,249,
6,Academy of Management Learning {\&} Education,Searching for a Strategy to Teach Strategy.,2003,2,4,402--420,,,10.5465/AMLE.2003.11902092 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11902092{\&}site=ehost-live{\&}scope=site,"We contend that the content of the required MBA strategy course in top-tier business schools has moved away from interdisciplinary thinking and practice toward an almost exclusive emphasis on theory and analysis. The once accepted Harvard model of capstone integration and learning-by-doing through case discussion is now much less in vogue. Consequently, strategy students today tend to experience a rather abstract approach to learning about strategy presented through the limited prism of a theoretical discipline. Even classroom discussions of cases are often guided by instructors to confirm the utility of a particular theoretical framework, instead of serving as an open-ended discussion of problems and solutions. After presenting our evidence and arguments against the current trend, we present some examples of MBA programs that give more emphasis to practice, including USC's Executive MBA program, where priority is placed on integration and implementation without sacrificing, we believe, essential theories and analytical skills. Finally, we explore the implications from our analysis for additional solutions in other strategy teaching contexts. [ABSTRACT FROM AUTHOR]","Greiner, Larry E; Bhambri, Arvind; Cummings, Thomas G",17,34,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Greiner, Larry E","Bhambri, Arvind","Cummings, Thomas G",-x-,-x-,-x-,-x-,-x-,-x-,4,402,420,
6,Academy of Management Learning {\&} Education,Four Territories of Experience: A Developmental Action Inquiry Approach to Outdoor-Adventure Experiential Learning.,2003,2,4,352--363,,,10.5465/AMLE.2003.11901956 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901956{\&}site=ehost-live{\&}scope=site,"One major challenge of effective management learning is closing the gap between abstract thinking and practical application. I propose here a way to enhance the value of outdoor-adventure experiential learning in organizational training and development efforts using a developmental action inquiry approach that provides researchers and practitioners with four territories of organizational experience--performing, assessing, visioning, and strategizing--holistic awareness of which is crucial to individual learning and organizational transformation. A framework resulting from a combination of insights from developmental action inquiry and generative metaphor intervention is applied to outdoor-adventure forms of experiential learning to illustrate theoretical and practical benefits of this integrated approach. [ABSTRACT FROM AUTHOR]","Meyer, John P",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Meyer, John P",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,352,363,
6,Academy of Management Learning {\&} Education,"The Rated Importance, Scientific Validity, and Practical Usefulness of Organizational Behavior Theories: A Quantitative Review.",2003,2,3,250--268,,,10.5465/AMLE.2003.10932132 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932132{\&}site=ehost-live{\&}scope=site,"I analyze rated importance, extent of recognition, validity, and usefulness of 73 established organizational behavior theories, differentiating between the views of judges with expertise in organizational behavior and in strategic management. The results indicate an increasingly mature science with many more positive relationships among the variables considered than existed previously. The findings have major implications for learning and education activities, such as textbook writing and organizational behavior course design in that they indicate which theories should be stressed and which should be given minimal, if any, attention at different levels of the educational process. [ABSTRACT FROM AUTHOR]","Miner, John B",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Miner, John B",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,250,268,
6,Academy of Management Learning {\&} Education,Instructional Methods and Mental Models of Students: An Empirical Investigation.,2003,2,4,335--351,,,10.5465/AMLE.2003.11901953 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901953{\&}site=ehost-live{\&}scope=site,"In this study I explore the differences in the mental models of students exposed to three instructional methods of teaching an organizational behavior course--lecture--discussion, experiential, and hybrid. The lecture--discussion and experiential methods are integrated into a hybrid method"" to exploit the synergy between the best features of the two methods. My results suggest that the students in the hybrid group had more complex mental models than those exposed to either the lecture--discussion or the experiential method. Implications of the findings are discussed. [ABSTRACT FROM AUTHOR]""","Nadkarni, Sucheta",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Nadkarni, Sucheta",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,335,351,
6,Academy of Management Learning {\&} Education,Behavioral Coursework in Business Education: Growing Evidence of a Legitimacy Crisis.,2003,2,3,269--283,,,10.5465/AMLE.2003.10932135 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932135{\&}site=ehost-live{\&}scope=site,"Business recruiters generally report seeking to hire well-rounded students who have not only technical knowledge and skills, but also behavioral ones. However, business students appear to be somewhat skeptical of this claim. One reason for this skepticism may be students' attention to recruiter signals concerning the importance of behavioral knowledge and skills during the recruitment and selection process.  In an attempt to determine whether the addition of significant behavioral coursework to a student's portfolio enhances recruiters' assessments of student employability, we conducted two studies using different methodologies. Results showed that when asked directly about their preferences (Study 1), a clear majority of recruiters (78{\%}) indicated that they preferred business graduates who supplemented functional-area (e.g., finance, accounting) coursework with equivalent amounts of behavioral coursework. However, when evaluating specific student resumes (Study 2), recruiters gave the same employability ratings to students who took only functional courses as to those who focused both on functional and behavioral courses. Our results are discussed in the context of growing evidence that behavioral science is regarded as a marginal topic both in business and in business education. [ABSTRACT FROM AUTHOR]","Rynes, Sara L; Trank, Christine Quinn; Lawson, Anne M; Ilies, Remus",14,38,54,-9,#N/A,#N/A,#N/A,#N/A,#N/A,"Rynes, Sara L","Trank, Christine Quinn","Lawson, Anne M","Ilies, Remus",-x-,-x-,-x-,-x-,-x-,4,269,283,
6,Academy of Management Learning {\&} Education,360-Degree Assessment: Time for Reinvention.,2003,2,3,297--311,,,10.5465/AMLE.2003.10932156 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932156{\&}site=ehost-live{\&}scope=site,"One of the most popular management development tools in use today is the 360-degree assessment instrument. In recent years, however, its popularity has led to uses beyond its original application for management development. In particular, 360-degree assessment is now replacing the traditional performance appraisal. This trend toward multiple uses--especially administrative ones--should raise concerns, and we discuss its implications. In particular, our focus is on dilemmas created when a feedback tool is stretched to include potentially conflicting aims. We carry out our analysis on three levels (individual, interpersonal, and organizational) using three frames (cognitive, psychometric, and game-theoretical). It leads to the conclusion that if used for multiple purposes 360-degree assessment is in danger of losing its efficacy as a process to deliver honest and constructive feedback. We suggest that it is time for reinvention of the tool and its process methodology. In particular, we argue for the development of two distinct tools--one for management development and one for performance feedback. The management development tool would rely more heavily upon qualitative feedback and competences for development. The performance appraisal feedback tool would be designed around quantitative feedback and measuring performance outcomes. [ABSTRACT FROM AUTHOR]","Toegel, Ginka; Conger, Jay A",14,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Toegel, Ginka","Conger, Jay A",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,297,311,
6,Academy of Management Learning {\&} Education,"Coping With Limitations Rather Than Preaching Damnation: Comments on Donaldson's Account of Contradictions Between Theories and Management Education"".""",2003,2,3,285--287,,,10.5465/AMLE.2003.10932143 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932143{\&}site=ehost-live{\&}scope=site,"Presents author's comments on the argument on account of contradictions between theories and management education, posed by Lex Donaldson, a university professor. Discussion of the essence of Donaldson's argument; Acknowledgment of educational limitations; Influence of several variables on managerial outcomes.","Watson, Andrew",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Watson, Andrew",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,285,287,
6,Academy of Management Learning {\&} Education,The Effects of Cognitive Style on Research Supervision: A Study of Student-Supervisor Dyads in Management Education.,2004,3,1,41--63,,,10.5465/AMLE.2004.12436818 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436818{\&}site=ehost-live{\&}scope=site,"Although attention has been paid to many aspects of teaching and learning in management education, one seriously overlooked facet is the process of research supervision. Research at both the graduate and undergraduate levels suggests that the relationship between student and supervisor is a significant predictor of success and failure in independent research projects. One personality variable shown to be partly responsible for shaping the overall effectiveness of such relationships is cognitive style, defined as consistent individual differences in how we perceive, organize, and process information; solve problems; learn; and relate to others. In this study we examined the effects of differences and similarities in the analytic--intuitive dimension of cognitive style on the supervision process. Data were collected from both partners in 421 dyadic relationships, each comprising an academic supervisor and a management student undertaking a major research project. Findings suggest that analytic supervisors were perceived to be significantly more nurturing and less dominant than their more intuitive counterparts, indicating a higher degree of closeness in their relationships. This led to increased liking in the relationship, and significantly higher performance outcomes for the student. These effects were highest in dyads whose students and supervisors were more analytic. [ABSTRACT FROM AUTHOR]","Armstrong, Steven J; Allinson, Christopher W; Hayes, John",20,45,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Armstrong, Steven J","Allinson, Christopher W","Hayes, John",-x-,-x-,-x-,-x-,-x-,-x-,3,41,63,
6,Academy of Management Learning {\&} Education,Educating Rita.,2004,3,2,197,,,10.5465/AMLE.2004.13500509 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=13500509{\&}site=ehost-live{\&}scope=site,"This article examines the relation between the motion picture Educating Rita and the study of management. Educating Rita is, among other things, a cautionary tale about how disciplinary standards can homogenize and sterilize newcomers' insight, precisely what Art Bedeian's analysis of the peer review process asserts. Peer review is also among the most powerful socializing devices exercised by business schools, and is thus central in educating the professoriate. Bedeian, always the provocateur, follows a simple logic to make a profound point. To begin with, knowledge is socially constructed. Although the relevant literature is admirably reviewed here, this is not a new proposition. But, it takes on special poignancy when peer review is considered because the process is undeniably social in nature. The negotiations among authors, referees, and editors most certainly result in tailored knowledge claims. To be sure, peer review protects broadly accepted standards. But four or fewer arbitrators do not make for a representative sample, and the likelihood of idiosyncratic interests seeping in is enormous. Bedeian claims that the result is all too often the violation of authorial voice, that what authors set out to say is compromised, sometimes beyond recognition. Bedeian concludes with ten rectifying recommendations, such as greater use of footnotes, publishing referee comments, and a meaningful formal appeal procedure, all of which could be reasonably instituted by any journal.","Bailey, James R",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bailey, James R",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,#N/A,197,-x-,
6,Academy of Management Learning {\&} Education,Navigating the Cultural Breach.,2004,3,1,99,,,10.5465/AMLE.2004.12436825 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436825{\&}site=ehost-live{\&}scope=site,"The article comments on the article by Chris Earley and Randall Peterson in which they challenge traditional intercultural training programs, extend the concept of cultural intelligence (CQ), and explore its implications for educating the global manager. The article began by critiquing the customary and conventional approach to international management training. The problem, not uncommon in training venues, is the one-stop shopping philosophy that treats all participants identically, overemphasizes informational components, assumes uniform behavior from cultural actors, and overrelies an analogical reasoning. Then Earley and Peterson is continued by building on work on social and emotional intelligence to advance the concept of CQ. The strength of their examination of CQ is integrating metacognitive-cognitive, motivational, and behavioral dimensions along the lines of Sternberg's triarchic model. CQ is not offered as an innate, static determinant of one's ability to navigate complex cultural situations. Rather, CQ is a basis by which cognitive, metacognitive, motivational and behavioral components of successful intercultural adaptation can be apprehended and, consequently, taught.","Bailey, James R",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bailey, James R",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,#N/A,99,-x-,
6,Academy of Management Learning {\&} Education,Grades as Money and the Role of the Market Metaphor in Management Education.,2004,3,2,187--196,,,10.5465/AMLE.2004.13500516 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=13500516{\&}site=ehost-live{\&}scope=site,"This article addresses grading, one process in the management education pedagogical framework, to explore how the economic metaphor underlying grading practices has shaped stakeholders' perspectives both of the purpose of education and of the meaning of grades.  It is argued that the stakeholders of higher education interpret grades as a currency that neatly quantifies learning, permitting market comparisons and exchange. This money metaphor objectifies education.  The economic metaphor and its effects on the educational process are discussed with the intent of increasing awareness of the implications of the metaphor.  The metaphorical linkages between money and grades are explained.  The social criticisms of money that help explain why the money metaphor is problematic for the education domain are reviewed.  The main criticisms offered address the intrinsic nonmaterial goals of education and the student-teacher relationship, both of which are poorly represented by the grades-as-money metaphor.  The implications of these criticisms for business schools are addressed.","Beatty, Joy E",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Beatty, Joy E",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,187,196,
6,Academy of Management Learning {\&} Education,Peer Review and the Social Construction of Knowledge in the Management Discipline.,2004,3,2,198--216,,,10.5465/AMLE.2004.13500489 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=13500489{\&}site=ehost-live{\&}scope=site,"Prior research on the peer-review process has almost exclusively focused on its surface features--its impartiality, validity, and reliability. What has received relatively less attention is the influence of the social component that shapes the content of the discipline's published record and, in turn, determines its scientific progress. As the product of social processes, all knowledge-claims are socially constituted rather than the products of an absolute truth. Taking a sociology-of-knowledge perspective, I argue that the social processes underlying the peer-review process warrant closer scrutiny. In doing so, I contend that there must be a balancing of the inevitable author-editor-referee tensions operating throughout the editorial process so as to ensure that a clear authorial voice is preserved. I offer suggestions for assuring the integrity of the scientific enterprise, while respecting the prerogatives and ethics of authorship. [ABSTRACT FROM AUTHOR]","Bedeian, Arthur G",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bedeian, Arthur G",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,198,216,
6,Academy of Management Learning {\&} Education,The Gift of Professional Maturity.,2004,3,1,92--98,,,10.5465/AMLE.2004.12436824 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=12436824{\&}site=ehost-live{\&}scope=site,"The article provides a personal perspective on the importance of understanding and learning management history.  There are many reasons why those training for careers as management scholars should be acquainted with the history of the discipline of management.  Among the lessons to be learned from the historical study of management thinking is that ideas are always a product of their own time and place.  Another profitable lesson that doctoral students will gain from studying the history of management thought is the advantage of being an informed consumer of received knowledge.  Another lesson doctoral students will learn from the studying history of management is the danger inherent in relying on secondary source materials.  Historical illiteracy may explain another lesson of historical scholarship.  Widely accepted facts are often wrong.  Also, doctoral students studying the history of management will learn a lesson dubbed as a special advantage of the past, that is, it allows association with superior minds.  For the author, an understanding of the historical development of the discipline of management is the whole that binds that various specialties that compose modern management.","Bedeian, Arthur G",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bedeian, Arthur G",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,92,98,
