"","c..interviews....russell....ackoff....one....pioneers....career..."
"469","opportunities"
"470","outside"
"471","school"
"472","enticing"
"473","robust"
"474","economy"
"475","furthermore"
"476","interest"
"477","costs"
"478","borrowing"
"479","financial"
"480","mba"
"481","historic"
"482","lows"
"483","presents"
"484","author"
"485","response"
"486","arguments"
"487","made"
"488","andrew"
"489","watson"
"490","todd"
"491","chiles"
"492","school"
"493","professors"
"494","refute"
"495","contradictions"
"496","theories"
"497","contradictions"
"498","assumptions"
"499","contribution"
"500","social"
"501","science"
"502","emphasis"
"503","practical"
"504","activities"
"505","compares"
"506","client"
"507","modeling"
"508","partnership"
"509","modeling"
"510","client"
"511","modeling"
"512","fails"
"513","comparison"
"514","partnership"
"515","modeling"
"516","several"
"517","significant"
"518","ways"
"519","example"
"520","major"
"521","problem"
"522","client"
"523","modeling"
"524","implies"
"525","professor"
"526","knowledge"
"527","expertise"
"528","challenge"
"529","get"
"530","knowledge"
"531","expertise"
"532","client"
"533","satisfactory"
"534","way"
"535","hand"
"536","junior"
"537","partner"
"538","modeling"
"539","focuses"
"540","attention"
"541","partnership"
"542","faculty"
"543","looking"
"544","personal"
"545","growth"
"546","development"
"547","words"
"548","partnership"
"549","modeling"
"550","puts"
"551","focus"
"552","joint"
"553","within"
"554","junior"
"555","senior"
"556","partner"
"557","framework"
"558","whereas"
"559","client"
"560","modeling"
"561","ignores"
"562","professional"
"563","growth"
"564","part"
"565","faculty"
"566","member"
"567","equally"
"568","partnership"
"569","modeling"
"570","sees"
"571","helping"
"572","learn"
"573","learn"
"574","sum"
"575","partnership"
"576","modeling"
"577","implies"
"578","ideal"
"579","nevertheless"
"580","stems"
"581","client"
"582","modeling"
"583","ignores"
"584","sense"
"585","ideal"
"586","falling"
"587","considerably"
"588","short"
"589","describing"
"590","thus"
"591","latter"
"592","value"
"593","instrumental"
"594","diminished"
"595","examine"
"596","strategic"
"597","options"
"598","school"
"599","noting"
"600","within"
"601","next"
"602","years"
"603","major"
"604","changes"
"605","demand"
"606","supply"
"607","likely"
"608","educator"
"609","need"
"610","develop"
"611","careful"
"612","strategies"
"613","consider"
"614","drivers"
"615","change"
"616","globalization"
"617","disruptive"
"618","technologies"
"619","demographic"
"620","shifts"
"621","deregulation"
"622","compare"
"623","industry"
"624","transformations"
"625","healthcare"
"626","financial"
"627","services"
"628","airlines"
"629","developing"
"630","situation"
"631","suggest"
"632","changes"
"633","strategic"
"634","elements"
"635","industry"
"636","primary"
"637","market"
"638","products"
"639","partnerships"
"640","discuss"
"641","changes"
"642","author"
"643","contend"
"644","content"
"645","required"
"646","mba"
"647","strategic"
"648","course"
"649","top"
"650","tier"
"651","school"
"652","moved"
"653","away"
"654","interdisciplinary"
"655","thinking"
"656","practice"
"657","toward"
"658","almost"
"659","exclusive"
"660","emphasis"
"661","theory"
"662","accepted"
"663","harvard"
"664","modeling"
"665","capstone"
"666","integration"
"667","now"
"668","much"
"669","less"
"670","vogue"
"671","consequently"
"672","strategic"
"673","today"
"674","tend"
"675","experience"
"676","rather"
"677","strategic"
"678","presented"
"679","limited"
"680","prism"
"681","theoretical"
"682","discipline"
"683","even"
"684","discussions"
"685","often"
"686","guided"
"687","confirm"
"688","utility"
"689","particular"
"690","theoretical"
"691","framework"
"692","instead"
"693","serving"
"694","open"
"695","ended"
"696","problem"
"697","solutions"
"698","presenting"
"699","evidence"
"700","arguments"
"701","current"
"702","trend"
"703","present"
"704","examples"
"705","mba"
"706","program"
"707","give"
"708","emphasis"
"709","practice"
"710","including"
"711","usc"
"712","executive"
"713","mba"
"714","program"
"715","priority"
"716","placed"
"717","integration"
"718","implementation"
"719","without"
"720","sacrificing"
"721","believe"
"722","essential"
"723","theories"
"724","analytical"
"725","skills"
"726","finally"
"727","explore"
"728","additional"
"729","solutions"
"730","strategic"
"731","contexts"
"732","author"
"733","one"
"734","major"
"735","challenge"
"736","closing"
"737","gap"
"738","thinking"
"739","practical"
"740","application"
"741","propose"
"742","way"
"743","enhance"
"744","value"
"745","outdoor"
"746","adventure"
"747","experiential"
"748","organizational"
"749","training"
"750","development"
"751","efforts"
"752","using"
"753","developmental"
"754","action"
"755","inquiry"
"756","provides"
"757","researchers"
"758","practitioners"
"759","four"
"760","territories"
"761","organizational"
"762","experience"
"763","performing"
"764","assessing"
"765","visioning"
"766","strategizing"
"767","holistic"
"768","awareness"
"769","crucial"
"770","individual"
"771","organizational"
"772","transformation"
"773","framework"
"774","resulting"
"775","combination"
"776","insights"
"777","developmental"
"778","action"
"779","inquiry"
"780","generative"
"781","metaphor"
"782","intervention"
"783","applied"
"784","outdoor"
"785","adventure"
"786","forms"
"787","experiential"
"788","illustrate"
"789","theoretical"
"790","practical"
"791","benefits"
"792","integrated"
"793","author"
"794","analyze"
"795","rated"
"796","importance"
"797","extent"
"798","recognition"
"799","validity"
"800","usefulness"
"801","established"
"802","organizational"
"803","behavior"
"804","theories"
"805","differentiating"
"806","views"
"807","judges"
"808","expertise"
"809","organizational"
"810","behavior"
"811","strategic"
"812","results"
"813","indicate"
"814","increasingly"
"815","mature"
"816","science"
"817","many"
"818","positive"
"819","relationships"
"820","among"
"821","variables"
"822","considered"
"823","existed"
"824","previously"
"825","major"
"826","activities"
"827","textbook"
"828","writing"
"829","organizational"
"830","behavior"
"831","course"
"832","design"
"833","indicate"
"834","theories"
"835","stressed"
"836","given"
"837","minimal"
"838","attention"
"839","different"
"840","levels"
"841","educational"
"842","process"
"843","author"
"844","explore"
"845","differences"
"846","mental"
"847","modeling"
"848","exposed"
"849","three"
"850","instructional"
"851","organizational"
"852","behavior"
"853","course"
"854","lecture"
"855","experiential"
"856","hybrid"
"857","lecture"
"858","experiential"
"859","integrated"
"860","hybrid"
"861","exploit"
"862","synergy"
"863","best"
"864","features"
"865","two"
"866","results"
"867","suggest"
"868","hybrid"
"869","group"
"870","complex"
"871","mental"
"872","modeling"
"873","exposed"
"874","either"
"875","lecture"
"876","experiential"
"877","discussed"
"878","author"
"879","recruiters"
"880","generally"
"881","report"
"882","seeking"
"883","hire"
"884","well"
"885","rounded"
"886","technical"
"887","knowledge"
"888","skills"
"889","also"
"890","behavioral"
"891","ones"
"892","however"
"893","appear"
"894","somewhat"
"895","skeptical"
"896","claim"
"897","one"
"898","reason"
"899","skepticism"
"900","may"
"901","attention"
"902","recruiter"
"903","signals"
"904","concerning"
"905","importance"
"906","behavioral"
"907","knowledge"
"908","skills"
"909","recruitment"
"910","selection"
"911","process"
"912","attempt"
"913","determine"
"914","whether"
"915","addition"
"916","significant"
"917","behavioral"
"918","coursework"
"919","portfolio"
"920","enhances"
"921","recruiters"
"922","assessments"
"923","employability"
"924","conducted"
"925","two"
"926","studies"
"927","using"
"928","different"
"929","methodologies"
"930","results"
"931","showed"
"932","asked"
"933","directly"
"934","preferences"
"935","clear"
"936","majority"
"937","recruiters"
"938","indicated"
"939","preferred"
"940","graduates"
"941","supplemented"
"942","functional"
"943","area"
"944","financial"
"945","accounting"
"946","coursework"
"947","equivalent"
"948","amounts"
"949","behavioral"
"950","coursework"
"951","however"
"952","evaluating"
"953","resumes"
"954","recruiters"
"955","gave"
"956","employability"
"957","ratings"
"958","took"
"959","functional"
"960","course"
"961","focused"
"962","functional"
"963","behavioral"
"964","course"
"965","results"
"966","discussed"
"967","context"
"968","growing"
"969","evidence"
"970","behavioral"
"971","science"
"972","regarded"
"973","marginal"
"974","topic"
"975","author"
"976","one"
"977","popular"
"978","development"
"979","tool"
"980","today"
"981","degree"
"982","assessment"
"983","instrument"
"984","years"
"985","however"
"986","popularity"
"987","led"
"988","uses"
"989","beyond"
"990","original"
"991","application"
"992","development"
"993","particular"
"994","degree"
"995","assessment"
"996","now"
"997","replacing"
"998","traditional"
"999","performance"
"1000","appraisal"
"1001","trend"
"1002","toward"
"1003","multiple"
"1004","uses"
"1005","especially"
"1006","administrative"
"1007","ones"
"1008","raise"
"1009","concerns"
"1010","discuss"
"1011","particular"
"1012","focus"
"1013","dilemmas"
"1014","created"
"1015","feedback"
"1016","tool"
"1017","stretched"
"1018","include"
"1019","potentially"
"1020","conflicting"
"1021","aims"
"1022","carry"
"1023","three"
"1024","levels"
"1025","individual"
"1026","interpersonal"
"1027","organizational"
"1028","using"
"1029","three"
"1030","frames"
"1031","cognitive"
"1032","psychometric"
"1033","game"
"1034","theoretical"
"1035","leads"
"1036","conclusion"
"1037","multiple"
"1038","purposes"
"1039","degree"
"1040","assessment"
"1041","danger"
"1042","losing"
"1043","efficacy"
"1044","process"
"1045","deliver"
"1046","honest"
"1047","constructive"
"1048","feedback"
"1049","suggest"
"1050","time"
"1051","reinvention"
"1052","tool"
"1053","process"
"1054","methodology"
"1055","particular"
"1056","argue"
"1057","development"
"1058","two"
"1059","distinct"
"1060","tool"
"1061","one"
"1062","development"
"1063","one"
"1064","performance"
"1065","feedback"
"1066","development"
"1067","tool"
"1068","rely"
"1069","heavily"
"1070","upon"
"1071","qualitative"
"1072","feedback"
"1073","competences"
"1074","development"
"1075","performance"
"1076","appraisal"
"1077","feedback"
"1078","tool"
"1079","around"
"1080","quantitative"
"1081","feedback"
"1082","measuring"
"1083","performance"
"1084","author"
"1085","presents"
"1086","author"
"1087","comments"
"1088","argument"
"1089","account"
"1090","contradictions"
"1091","theories"
"1092","posed"
"1093","lex"
"1094","donaldson"
"1095","school"
"1096","professor"
"1097","essence"
"1098","donaldson"
"1099","argument"
"1100","acknowledgment"
"1101","educational"
"1102","limitations"
"1103","influence"
"1104","several"
"1105","variables"
"1106","managerial"
"1107","although"
"1108","attention"
"1109","paid"
"1110","many"
"1111","aspects"
"1112","one"
"1113","seriously"
"1114","overlooked"
"1115","facet"
"1116","process"
"1117","supervision"
"1118","graduate"
"1119","undergraduate"
"1120","levels"
"1121","suggests"
"1122","relationship"
"1123","supervisor"
"1124","significant"
"1125","predictor"
"1126","success"
"1127","failure"
"1128","independent"
"1129","project"
"1130","one"
"1131","personality"
"1132","variable"
"1133","shown"
"1134","partly"
"1135","responsible"
"1136","shaping"
"1137","overall"
"1138","relationships"
"1139","cognitive"
"1140","style"
"1141","defined"
"1142","consistent"
"1143","individual"
"1144","differences"
"1145","perceive"
"1146","organize"
"1147","process"
"1148","information"
"1149","solve"
"1150","problem"
"1151","learn"
"1152","relate"
"1153","others"
"1154","examined"
"1155","effects"
"1156","differences"
"1157","similarities"
"1158","analytic"
"1159","intuitive"
"1160","dimension"
"1161","cognitive"
"1162","style"
"1163","supervision"
"1164","process"
"1165","data"
"1166","collected"
"1167","partners"
"1168","dyadic"
"1169","relationships"
"1170","comprising"
"1171","supervisor"
"1172","undertaking"
"1173","major"
"1174","project"
"1175","suggest"
"1176","analytic"
"1177","supervisors"
"1178","perceived"
"1179","significantly"
"1180","nurturing"
"1181","less"
"1182","dominant"
"1183","intuitive"
"1184","counterparts"
"1185","indicating"
"1186","degree"
"1187","closeness"
"1188","relationships"
"1189","led"
"1190","increased"
"1191","liking"
"1192","relationship"
"1193","significantly"
"1194","performance"
"1195","effects"
"1196","highest"
"1197","dyads"
"1198","whose"
"1199","supervisors"
"1200","analytic"
"1201","author"
"1202","examines"
"1203","relation"
"1204","motion"
"1205","picture"
"1206","educating"
"1207","rita"
"1208","educating"
"1209","rita"
"1210","among"
"1211","things"
"1212","cautionary"
"1213","tale"
"1214","disciplinary"
"1215","standards"
"1216","homogenize"
"1217","sterilize"
"1218","newcomers"
"1219","insight"
"1220","precisely"
"1221","art"
"1222","bedeian"
"1223","peerreview"
"1224","process"
"1225","asserts"
"1226","peerreview"
"1227","also"
"1228","among"
"1229","powerful"
"1230","socializing"
"1231","devices"
"1232","exercised"
"1233","school"
"1234","thus"
"1235","central"
"1236","educating"
"1237","professoriate"
"1238","bedeian"
"1239","always"
"1240","provocateur"
"1241","follows"
"1242","simple"
"1243","logic"
"1244","make"
"1245","profound"
"1246","point"
"1247","begin"
"1248","knowledge"
"1249","socially"
"1250","constructed"
"1251","although"
"1252","relevant"
"1253","literature"
"1254","admirably"
"1255","reviewed"
"1256","new"
"1257","proposition"
"1258","takes"
"1259","special"
"1260","poignancy"
"1261","peerreview"
"1262","considered"
"1263","process"
"1264","undeniably"
"1265","social"
"1266","nature"
"1267","negotiations"
"1268","among"
"1269","author"
"1270","referees"
"1271","editors"
"1272","certainly"
"1273","result"
"1274","tailored"
"1275","knowledge"
"1276","claims"
"1277","sure"
"1278","peerreview"
"1279","protects"
"1280","broadly"
"1281","accepted"
"1282","standards"
"1283","four"
"1284","fewer"
"1285","arbitrators"
"1286","make"
"1287","representative"
"1288","sample"
"1289","likelihood"
"1290","idiosyncratic"
"1291","interests"
"1292","seeping"
"1293","enormous"
"1294","bedeian"
"1295","claims"
"1296","result"
"1297","often"
"1298","violation"
"1299","authorial"
"1300","voice"
"1301","author"
"1302","set"
"1303","say"
"1304","compromised"
"1305","sometimes"
"1306","beyond"
"1307","recognition"
"1308","bedeian"
"1309","concludes"
"1310","ten"
"1311","rectifying"
"1312","recommendations"
"1313","greater"
"1314","footnotes"
"1315","publishing"
"1316","referee"
"1317","comments"
"1318","meaningful"
"1319","formal"
"1320","appeal"
"1321","procedure"
"1322","reasonably"
"1323","instituted"
"1324","journal"
"1325","comments"
"1326","chris"
"1327","earley"
"1328","randall"
"1329","peterson"
"1330","challenge"
"1331","traditional"
"1332","intercultural"
"1333","training"
"1334","program"
"1335","extend"
"1336","concept"
"1337","cultural"
"1338","intelligence"
"1339","explore"
"1340","educating"
"1341","global"
"1342","manager"
"1343","began"
"1344","critiquing"
"1345","customary"
"1346","conventional"
"1347","international"
"1348","training"
"1349","problem"
"1350","uncommon"
"1351","training"
"1352","venues"
"1353","one"
"1354","stop"
"1355","shopping"
"1356","philosophy"
"1357","treats"
"1358","participants"
"1359","identically"
"1360","overemphasizes"
"1361","informational"
"1362","components"
"1363","assumes"
"1364","uniform"
"1365","behavior"
"1366","cultural"
"1367","actors"
"1368","overrelies"
"1369","analogical"
"1370","reasoning"
"1371","earley"
"1372","peterson"
"1373","continued"
"1374","building"
"1375","work"
"1376","social"
"1377","emotional"
"1378","intelligence"
"1379","advance"
"1380","concept"
"1381","strength"
"1382","examination"
"1383","integrating"
"1384","metacognitive"
"1385","cognitive"
"1386","motivational"
"1387","behavioral"
"1388","dimensions"
"1389","along"
"1390","lines"
"1391","sternberg"
"1392","triarchic"
"1393","modeling"
"1394","offered"
"1395","innate"
"1396","static"
"1397","determinant"
"1398","one"
"1399","ability"
"1400","navigate"
"1401","complex"
"1402","cultural"
"1403","situations"
"1404","rather"
"1405","basis"
"1406","cognitive"
"1407","metacognitive"
"1408","motivational"
"1409","behavioral"
"1410","components"
"1411","successful"
"1412","intercultural"
"1413","adaptation"
"1414","apprehended"
"1415","consequently"
"1416","addresses"
"1417","grading"
"1418","one"
"1419","process"
"1420","pedagogical"
"1421","framework"
"1422","explore"
"1423","economic"
"1424","metaphor"
"1425","underlying"
"1426","grading"
"1427","practices"
"1428","shaped"
"1429","stakeholders"
"1430","perspectives"
"1431","meaning"
"1432","grades"
"1433","argued"
"1434","stakeholders"
"1435","interpret"
"1436","grades"
"1437","currency"
"1438","neatly"
"1439","quantifies"
"1440","permitting"
"1441","market"
"1442","comparisons"
"1443","exchange"
"1444","money"
"1445","metaphor"
"1446","objectifies"
"1447","economic"
"1448","metaphor"
"1449","effects"
"1450","educational"
"1451","process"
"1452","discussed"
"1453","intent"
"1454","increasing"
"1455","awareness"
"1456","metaphor"
"1457","metaphorical"
"1458","linkages"
"1459","money"
"1460","grades"
"1461","explained"
"1462","social"
"1463","criticisms"
"1464","money"
"1465","help"
"1466","explain"
"1467","money"
"1468","metaphor"
"1469","problematic"
"1470","domain"
"1471","reviewed"
"1472","main"
"1473","criticisms"
"1474","offered"
"1475","address"
"1476","intrinsic"
"1477","nonmaterial"
"1478","goals"
"1479","teacher"
"1480","relationship"
"1481","poorly"
"1482","represented"
"1483","grades"
"1484","money"
"1485","metaphor"
"1486","criticisms"
"1487","school"
"1488","addressed"
"1489","prior"
"1490","peerreview"
"1491","process"
"1492","almost"
"1493","exclusively"
"1494","focused"
"1495","surface"
"1496","features"
"1497","impartiality"
"1498","validity"
"1499","reliability"
"1500","received"
"1501","relatively"
"1502","less"
"1503","attention"
"1504","influence"
"1505","social"
"1506","component"
"1507","shapes"
"1508","content"
"1509","discipline"
"1510","published"
"1511","record"
"1512","turn"
"1513","determines"
"1514","scientific"
"1515","progress"
"1516","product"
"1517","social"
"1518","processes"
"1519","knowledge"
"1520","claims"
"1521","socially"
"1522","constituted"
"1523","rather"
"1524","products"
"1525","absolute"
"1526","truth"
"1527","taking"
"1528","sociology"
"1529","knowledge"
"1530","perspective"
"1531","argue"
"1532","social"
"1533","processes"
"1534","underlying"
"1535","peerreview"
"1536","process"
"1537","warrant"
"1538","closer"
"1539","scrutiny"
"1540","contend"
"1541","must"
"1542","balancing"
"1543","inevitable"
"1544","author"
"1545","editor"
"1546","referee"
"1547","tensions"
"1548","operating"
"1549","throughout"
"1550","editorial"
"1551","process"
"1552","ensure"
"1553","clear"
"1554","authorial"
"1555","voice"
"1556","preserved"
"1557","offer"
"1558","suggestions"
"1559","assuring"
"1560","integrity"
"1561","scientific"
"1562","enterprise"
"1563","respecting"
"1564","prerogatives"
"1565","ethics"
"1566","authorship"
"1567","author"
"1568","provides"
"1569","personal"
"1570","perspective"
"1571","importance"
"1572","understanding"
"1573","history"
"1574","many"
"1575","reasons"
"1576","training"
"1577","careers"
"1578","scholars"
"1579","acquainted"
"1580","history"
"1581","discipline"
"1582","among"
"1583","lessons"
"1584","learned"
"1585","historical"
"1586","thinking"
"1587","ideas"
"1588","always"
"1589","product"
"1590","time"
"1591","place"
"1592","another"
"1593","profitable"
"1594","lesson"
"1595","doctoral"
"1596","will"
"1597","gain"
"1598","studying"
"1599","history"
"1600","thought"
"1601","advantage"
"1602","informed"
"1603","consumer"
"1604","received"
"1605","knowledge"
"1606","another"
"1607","lesson"
"1608","doctoral"
"1609","will"
"1610","learn"
"1611","studying"
"1612","history"
"1613","danger"
"1614","inherent"
"1615","relying"
"1616","secondary"
"1617","source"
"1618","material"
"1619","historical"
"1620","illiteracy"
"1621","may"
"1622","explain"
"1623","another"
"1624","lesson"
"1625","historical"
"1626","scholarship"
"1627","widely"
"1628","accepted"
"1629","facts"
"1630","often"
"1631","wrong"
"1632","also"
"1633","doctoral"
"1634","studying"
"1635","history"
"1636","will"
"1637","learn"
"1638","lesson"
"1639","dubbed"
"1640","special"
"1641","advantage"
"1642","past"
"1643","allows"
"1644","association"
"1645","superior"
"1646","minds"
"1647","author"
"1648","understanding"
"1649","historical"
"1650","development"
"1651","discipline"
"1652","whole"
"1653","binds"
"1654","various"
"1655","specialties"
"1656","compose"
"1657","modern"
"1658","organizational"
"1659","increasingly"
"1660","seeking"
"1661","candidates"
"1662","possessing"
"1663","high"
"1664","levels"
"1665","teamwork"
"1666","knowledge"
"1667","skills"
"1668","abilities"
"1669","ksas"
"1670","stevens"
"1671","campion"
"1672","yet"
"1673","despite"
"1674","greater"
"1675","emphasis"
"1676","settings"
"1677","developing"
"1678","ready"
"1679","workforce"
"1680","neil"
"1681","allerd"
"1682","baker"
"1683","enough"
"1684","done"
"1685","explicitly"
"1686","develop"
"1687","teamwork"
"1688","ksas"
"1689","school"
"1690","curricula"
"1691","describe"
"1692","school"
"1693","course"
"1694","intended"
"1695","develop"
"1696","teamwork"
"1697","ksas"
"1698","results"
"1699","quasi"
"1700","experimental"
"1701","evaluation"
"1702","demonstrate"
"1703","course"
"1704","significantly"
"1705","increased"
"1706","levels"
"1707","teamwork"
"1708","knowledge"
"1709","skills"
"1710","however"
"1711","course"
"1712","significantly"
"1713","improve"
"1714","teamwork"
"1715","related"
"1716","attitudes"
"1717","self"
"1718","efficacy"
"1719","discuss"
"1720","school"
"1721","work"
"1722","policies"
"1723","development"
"1724","teamwork"
"1725","ksas"
"1726","settings"
"1727","well"
"1728","directions"
"1729","future"
"1730","author"
"1731","propose"
"1732","simultaneously"
"1733","considering"
"1734","combined"
"1735","effects"
"1736","motivation"
"1737","psychological"
"1738","hardiness"
"1739","increase"
"1740","understanding"
"1741","experience"
"1742","impact"
"1743","specifically"
"1744","hypothesized"
"1745","relationship"
"1746","motivation"
"1747","moderated"
"1748","individuals"
"1749","psychological"
"1750","hardiness"
"1751","collected"
"1752","data"
"1753","two"
"1754","studies"
"1755","first"
"1756","established"
"1757","psychometric"
"1758","properties"
"1759","newly"
"1760","developed"
"1761","scale"
"1762","second"
"1763","tested"
"1764","related"
"1765","hypotheses"
"1766","controlling"
"1767","socially"
"1768","desirable"
"1769","responding"
"1770","dispositional"
"1771","orientations"
"1772","hypothesized"
"1773","interaction"
"1774","participants"
"1775","initial"
"1776","motivation"
"1777","learn"
"1778","psychological"
"1779","hardiness"
"1780","explained"
"1781","differences"
"1782","participants"
"1783","postlearning"
"1784","motivation"
"1785","depressive"
"1786","symptomatology"
"1787","reactions"
"1788","experience"
"1789","assessed"
"1790","months"
"1791","later"
"1792","particular"
"1793","relevance"
