"","words","term.freq","doc.freq"
"504","life",297,234
"706","characteristics",297,218
"2180","managers",297,200
"942","effects",295,236
"1823","identified",295,270
"396","effect",294,239
"1083","less",293,247
"91","firm",290,186
"907","global",290,210
"1147","software",290,170
"262","conducted",289,274
"1095","techniques",289,223
"299","exam",288,140
"1052","describe",288,264
"171","growth",287,195
"402","multiple",286,242
"1930","gender",284,180
"227","standards",283,198
"842","recommendations",283,262
"555","face",282,173
"1356","needs",282,236
"88","audit",279,118
"287","present",279,257
"451","concept",278,217
"5920","students",278,194
"1370","demand",277,204
"207","participants",276,203
"351","enhance",275,261
"1355","structure",274,225
"1481","offer",274,256
"987","prior",272,215
"2028","suggests",272,264
"263","become",271,253
"2282","examined",271,255
"300","examples",268,221
"1036","made",268,255
"5222","cultural",268,153
"970","non",267,206
"418","address",266,252
"1080","textbooks",265,162
"1602","core",265,201
"652","relevant",264,250
"3078","practical",264,243
"506","ways",263,244
"172","sample",262,239
"1198","subject",262,215
"249","discuss",261,251
"465","increased",260,216
"1522","resources",260,212
"124","corporate",259,190
"2876","five",259,227
"321","instruction",258,209
"1798","job",257,157
"1846","delivery",257,171
"755","technical",255,193
"909","curricula",255,205
"205","small",253,200
"1131","nature",252,227
"20","create",251,227
"800","activity",251,168
"1981","perspective",250,213
"67","reporting",249,153
"1538","measures",249,189
"1222","appropriate",248,222
"1619","offers",248,228
"368","providing",247,233
"452","consider",247,219
"482","motivation",247,163
"609","majors",247,157
"1564","best",247,218
"176","states",246,220
"906","increasing",246,230
"2796","internet",246,158
"76","operations",244,182
"328","overall",244,223
"1116","others",244,209
"111","suggestions",243,232
"445","assess",243,232
"665","example",243,216
"303","evaluate",242,228
"1728","scores",241,156
"1679","planning",240,196
"109","resource",239,183
"175","united",239,215
"289","challenge",239,195
"864","integrated",239,200
"1437","types",239,196
"283","successful",238,213
"921","specifically",238,232
"1129","little",238,231
"1235","tax",238,83
"1042","terms",237,218
"453","engagement",236,161
"297","pedagogy",235,181
"69","working",234,200
"1139","semester",234,189
"382","reported",233,209
"659","upon",232,207
"1416","explore",232,223
"1584","relationships",232,192
"497","long",231,212
"1032","greater",231,205
"1730","compared",231,220
"714","available",229,198
"4021","programming",229,118
"360","researchers",227,188
"941","setting",227,198
"226","costs",226,144
"551","professionals",226,178
"866","apply",226,206
"379","companies",225,163
"429","form",224,206
"1186","issue",224,189
"1231","journals",223,116
"738","firms",222,147
"736","result",221,211
"1599","simple",221,191
"199","demonstrate",220,206
"2051","common",220,202
"2402","innovative",220,200
"1295","technologies",219,145
"2106","applied",219,192
"1106","response",218,189
"1081","rather",217,199
"1588","area",217,188
"1628","attitudes",217,141
"142","requirements",216,163
"339","included",215,195
"362","offered",215,203
"161","moral",214,83
"929","possible",214,207
"1493","qualitative",214,196
"375","empirical",213,189
"460","variety",213,206
"145","auditing",212,112
"372","aspects",212,192
"1909","variables",212,164
"3261","innovation",212,143
"71","report",210,173
"155","existing",210,194
"1476","effectively",210,194
"725","proposed",208,184
"2111","solving",208,149
"154","explores",207,203
"238","managerial",207,163
"323","particularly",206,199
"1118","short",206,176
"1290","similar",206,190
"2387","database",206,88
"624","much",205,196
"730","today",205,184
"832","term",205,153
"838","american",205,144
"2915","disciplines",205,173
"386","increasingly",203,200
"392","rate",203,140
"566","values",202,145
"1303","writing",202,112
"554","likely",200,167
"1003","alternative",200,173
"1371","price",200,119
"4744","teachers",200,127
"1050","even",199,189
"1103","experiment",199,144
"1620","engage",199,177
"267","finally",198,197
"489","participation",198,147
"827","competencies",198,116
"1068","complex",198,174
"2352","lack",198,174
"85","actual",197,171
"178","affect",197,177
"477","end",197,164
"1026","view",197,167
"4792","science",197,153
"120","organization",196,161
"129","analyze",196,186
"32","internal",195,124
"708","emphasis",195,177
"1238","theoretical",195,167
"14","take",194,179
"648","suggested",194,179
"1708","since",194,181
"1888","might",194,176
"2526","measure",194,162
"2764","skill",194,147
"11747","ltd",194,194
"490","methodology",193,163
"1102","policy",193,136
"1184","improvement",193,170
"1535","described",193,180
"2522","supply",193,103
"90","public",192,157
"856","integration",192,147
"1173","professors",192,130
"1148","previous",191,173
"363","insights",190,177
"546","state",190,162
"1229","published",190,158
"2089","goals",189,153
"208","involved",188,174
"310","exercises",188,144
"795","responses",188,169
"1607","capital",188,115
"2476","choice",188,142
"3329","erp",188,39
"2024","past",187,170
"4292","quantitative",187,157
"160","cognitive",186,105
"982","point",186,165
"1854","lecture",186,111
"313","fraud",185,62
"693","additional",185,173
"933","cross",185,126
"1034","grade",185,129
"291","primary",184,165
"582","action",184,138
"598","period",184,164
"2572","efficacy",184,112
"868","limited",183,172
"804","task",182,145
"999","type",182,157
"11746","elsevier",182,182
"270","statements",181,124
"463","client",181,104
"1603","focused",181,157
"894","individuals",180,150
"1856","evaluations",180,116
"2820","six",180,155
"859","toward",179,154
"1206","unique",179,166
"1387","final",179,143
"1565","discipline",179,137
"599","cash",178,94
"542","considered",177,164
"1085","thus",177,169
"1382","illustrate",176,170
"235","access",175,146
"3252","indicated",175,161
"997","focuses",174,171
"1467","yet",174,170
"2970","applications",174,143
"212","prepare",173,164
"275","objective",173,153
"726","standard",173,150
"2265","expectations",173,133
"3353","efforts",173,148
"361","practitioners",172,141
"471","completed",172,154
"1473","academics",172,122
"1870","post",172,131
"766","customer",171,104
"1556","without",171,159
"2473","style",171,92
"138","written",170,151
"146","advanced",170,139
"1366","stock",170,89
"3620","means",170,164
"4985","peer",170,96
"2011","interviews",169,150
"2509","needed",169,160
"454","statement",168,116
"1910","top",168,115
"1187","product",167,120
"1582","shows",167,155
"1990","range",167,152
"2578","media",167,90
"62","following",166,162
"301","along",166,164
"1250","difficult",166,148
"1324","allows",166,154
"1447","countries",166,122
"1572","doctoral",166,70
"474","either",165,158
"1627","discussions",165,128
"330","plan",164,129
"499","effort",164,139
"576","play",164,131
"1523","competitive",164,135
"248","asked",163,147
"904","benefit",163,147
"912","attention",163,152
"1701","building",163,144
"2102","awareness",162,142
"2513","average",162,121
"151","theories",161,117
"163","see",160,146
"327","component",160,142
"539","includes",160,153
"1835","question",160,135
"485","facilitate",159,154
"657","examination",159,118
"858","oriented",159,126
"1153","creating",159,146
"4486","environmental",159,88
"346","services",158,115
"1973","introduce",158,150
"2280","dimensions",158,121
"816","improving",157,146
"896","collected",157,151
"928","conceptual",157,130
"1343","inventory",157,93
"2474","styles",157,85
"3874","culture",156,111
"394","series",155,135
"3798","virtual",155,86
"756","necessary",154,150
"783","national",154,137
"6072","sustainability",154,66
"113","demonstrates",153,148
"559","require",153,136
"996","commerce",153,67
"1465","good",153,128
"2435","colleges",153,118
"2599","enterprise",153,94
"2762","employers",153,113
"6542","reflection",153,113
"431","complete",152,145
"552","especially",152,148
"799","interactive",152,112
"1472","articles",151,102
"2732","perspectives",151,136
"3062","human",151,117
"1028","financialaccounting",150,112
"1352","module",150,97
"661","lead",149,140
"1561","improved",149,140
"1677","people",149,129
"2449","taking",149,137
"789","discusses",148,142
"1057","basis",148,141
"1058","grades",148,103
"1111","elements",148,124
"1393","tests",147,110
"2142","note",147,128
"223","main",146,131
"673","department",146,112
"785","association",146,120
"1637","implementing",146,140
"157","investigates",145,141
"1672","comprehensive",145,127
"2350","components",145,127
"3229","departments",145,97
"3924","ideas",145,122
"600","flow",144,81
"605","investment",144,98
"1734","preparation",144,121
"1861","teacher",144,107
"1096","extent",143,130
"1925","negative",143,112
"618","interested",142,135
"701","illustrates",142,137
"948","expected",142,121
"1575","place",142,133
"334","responsibility",140,108
"911","growing",140,133
"1904","successfully",140,136
"1989","diversity",140,92
"2278","relative",140,127
"2907","reflective",140,96
"869","concludes",139,139
"1252","generally",139,134
"1609","features",139,106
"1894","measured",139,125
"132","known",138,130
"290","encourage",138,131
"1537","via",138,127
"1594","gain",138,127
"1600","early",138,123
"1951","options",138,80
"2761","employees",138,110
"4158","collaborative",138,109
"5549","collaboration",138,107
"806","pre",137,106
"1546","showed",137,129
"1970","implemented",137,131
"2755","emotional",137,65
"3081","questionnaire",137,124
"741","third",136,121
"1138","throughout",136,129
"1341","technique",136,109
"1881","achievement",136,94
"3042","chain",136,67
"358","investigate",135,133
"768","revealed",135,128
"1997","despite",135,133
"2284","environments",135,114
"2904","created",135,127
"106","intermediate",134,105
"450","introduces",134,131
"1354","format",134,111
"1560","consistent",134,124
"1886","concerns",134,120
"464","achieve",133,124
"1282","currently",133,126
"1372","structured",133,118
"2430","roles",133,106
"139","analytical",132,122
"449","implement",132,125
"944","local",132,100
"1256","presentation",132,94
"324","assessing",131,119
"722","perform",131,117
"815","analyses",131,112
"1275","therefore",131,130
"1463","reasons",131,118
"2669","highly",131,120
"2948","textbook",131,103
"3","leading",130,118
"383","earnings",130,59
"532","addresses",130,129
"655","strong",130,116
"728","testing",130,93
"1107","able",130,122
"1208","wide",130,126
"1750","integrating",130,121
"3541","creative",130,99
"4879","women",130,62
"204","due",129,122
"1364","solution",129,105
"1795","insight",129,119
"2055","board",129,96
"2395","learned",129,116
"430","rates",128,82
"619","credit",128,73
"1176","administrators",128,107
"1314","popular",128,121
"1962","economy",128,102
"2742","statistics",128,84
"391","exchange",127,89
"583","uses",127,125
"855","competency",127,85
"1247","users",127,84
"423","changing",126,116
"932","helps",126,120
"1349","build",126,117
"1685","incorporate",126,121
"3191","pricing",126,76
"7928","leader",126,77
"12","income",125,85
"41","faced",125,113
"118","stakeholders",125,104
"563","employment",125,86
"829","entry",125,93
"1285","profit",125,91
"1294","emerging",125,99
"6650","mis",125,60
"472","single",124,112
"615","serve",124,115
"688","rights",124,109
"1219","interaction",124,112
"1280","enrolled",124,107
"1915","aacsb",124,87
"1920","positively",124,103
"2529","publication",124,96
"3943","factor",124,102
"169","external",123,104
"540","situations",123,112
"1221","engineering",123,77
"3010","regression",123,97
"3223","respondents",123,86
"1248","background",122,116
"1302","meet",122,114
"1351","complexity",122,96
"2045","formal",122,107
"2199","enhanced",122,117
"2416","creativity",122,65
"4387","power",122,92
"4647","consumer",122,89
"9861","towards",122,91
"83","events",121,92
"711","direct",121,108
"712","initial",121,110
"822","notes",121,101
"1161","production",121,80
"1277","relevance",121,112
"1817","employed",121,113
"2618","attributes",121,81
"2747","explain",121,115
"2906","instrument",121,98
"4502","trade",121,69
"364","beyond",120,113
"899","valuable",120,118
"1045","free",120,88
"1170","institutional",120,103
"2019","now",120,110
"2035","line",120,94
"2600","preferences",120,80
"2746","total",120,102
"3331","security",120,50
"179","internship",118,44
"385","share",118,105
"591","bank",118,54
"1558","lower",118,101
"1719","received",118,103
"1771","full",118,108
"2007","history",118,99
"3131","selection",118,95
"3500","perception",118,96
"4142","subjects",118,90
"954","function",117,106
"1056","relatively",117,111
"3700","widely",117,115
"3717","distance",117,67
"4715","gap",117,101
"424","policies",116,80
"558","careers",116,101
"905","like",116,109
"1592","situation",116,107
"1770","experienced",116,104
"1979","reviews",116,100
"2920","together",116,111
"9835","programmes",116,73
"821","solutions",115,101
"3091","orientation",115,73
"3272","furthermore",115,112
"94","addressed",114,111
"102","capstone",114,72
"1839","adoption",114,88
"2088","adopted",114,106
"2160","scale",114,91
"574","workplace",113,94
"1310","around",113,108
"1397","tasks",113,90
"1492","exploratory",112,107
"1884","learners",112,81
"2682","managing",112,96
"3994","age",112,87
"5048","portfolio",112,61
"192","involvement",111,72
"201","respect",111,103
"440","usefulness",111,99
"930","diverse",111,101
"1165","low",111,88
"2418","advantages",111,99
"6264","literacy",111,52
"575","engaging",110,102
"623","master",110,91
"699","sources",110,93
"1606","valuation",110,65
"1952","integrate",110,105
"2744","professor",110,85
"2994","creation",110,95
"298","tested",109,98
"458","products",109,95
"1244","foundation",109,101
"2316","analyzed",109,105
"9865","programme",109,67
"123","selected",108,101
"286","assist",108,105
"340","guidance",108,93
"620","crisis",108,54
"811","assessments",108,87
"817","intended",108,99
"1027","analyzing",108,102
"1478","versus",108,87
"1761","believe",108,98
"411","china",107,59
"528","indicates",107,104
"733","electronic",107,86
"1038","contribution",107,93
"1171","contribute",107,101
"2205","studying",107,89
"87","conduct",106,101
"663","involves",106,102
"1199","certain",106,94
"1640","makes",106,106
"1927","institution",106,97
"3660","distribution",106,96
"4534","competition",106,77
"237","applying",105,99
"378","increases",105,98
"397","operating",105,83
"413","difference",105,88
"468","criteria",105,82
"514","participating",105,88
"607","senior",105,89
"640","participate",105,93
"854","settings",105,96
"923","revenue",105,60
"2767","seeking",105,91
"3099","personality",105,54
"5046","still",105,101
"476","introduction",104,95
"650","hands",104,91
"1332","aim",104,98
"221","reflect",103,96
"713","offering",103,95
"945","businesses",103,88
"1477","sections",103,92
"1524","advantage",103,91
"2196","guidelines",103,85
"2240","position",103,91
"4137","cooperative",103,60
"189","society",102,87
"955","outside",102,99
"1468","concern",102,91
"1636","detailed",102,96
"2026","australian",102,78
"2047","introduced",102,98
"2254","propose",102,98
"2309","another",102,100
"2695","beliefs",102,59
"2800","last",102,92
"3135","fundamental",102,94
"3575","solve",102,87
"4139","outcome",102,92
"654","surveys",101,95
"1168","considering",101,97
"1658","private",101,92
"1767","conditions",101,89
"1880","shown",101,94
"2378","resulting",101,93
"2417","enhancing",101,99
"3542","multi",101,86
"5041","intentions",101,62
"381","foreign",100,63
"685","act",100,86
"1331","underlying",100,96
"1454","country",100,79
"1511","simulations",100,60
"1963","open",100,80
"2110","promote",100,92
"2542","female",100,65
"84","taken",98,97
"417","allow",98,96
"814","procedures",98,78
"860","demands",98,93
"931","followed",98,95
"1551","transfer",98,57
"1804","seven",98,82
"2101","grading",98,51
"2332","failure",98,65
"3447","arts",98,63
"3483","challenging",98,96
"3696","statistical",98,74
"65","member",97,75
"739","typically",97,93
"1300","appear",97,95
"1489","essential",97,91
"1808","obtained",97,88
"2236","evaluating",97,97
"2756","intelligence",97,51
"7898","abroad",97,45
"55","recently",96,91
"196","participated",96,85
"1241","phd",96,47
"1417","depth",96,93
"1805","independent",96,90
"3230","user",96,73
"3759","language",96,73
"77","subsequent",95,83
"307","abilities",95,83
"533","limitations",95,90
"660","investigated",95,94
"1135","identifies",95,88
"1189","functional",95,74
"1336","frequently",95,90
"1721","percent",95,63
"2078","law",95,51
"2335","easily",95,88
"2751","teamwork",95,66
"3232","incorporating",95,88
"3569","established",95,89
"4289","interpersonal",95,72
"225","treatment",94,75
"553","positions",94,76
"916","account",94,82
"2852","called",94,91
"3231","coverage",94,70
"3247","texts",94,60
"5060","assessed",94,83
"518","realistic",93,90
"846","body",93,86
"1141","construct",93,80
"1402","interesting",93,87
"1459","measurement",93,74
"1657","covered",93,89
"1705","just",93,89
"2062","degrees",93,77
"2453","examining",93,92
"2569","commonly",93,88
"3037","continue",93,87
"412","highlight",92,90
"802","brief",92,88
"969","follow",92,87
"1630","perceive",92,86
"2421","accreditation",92,60
"2888","size",92,80
"3041","exist",92,83
"3293","video",92,52
"5143","forms",92,82
"100","assets",91,62
"938","addressing",91,88
"1123","experimental",91,74
"1398","rules",91,63
"1469","overview",91,82
"1482","conclude",91,89
"1631","attitude",91,53
"2121","maintain",91,90
"3449","concerning",91,81
"4509","sense",91,77
"214","integrity",90,74
"1528","competence",90,62
"1601","day",90,70
"1980","historical",90,68
"2271","designing",90,85
"2520","least",90,83
"2655","capabilities",90,68
"2822","version",90,75
"3446","liberal",90,53
"335","identifying",89,83
"3593","points",89,82
"4884","games",89,47
"11831","reserved",89,89
"246","gaap",88,45
"628","reasoning",88,56
"1022","rich",88,82
"1053","contributions",88,76
"1088","numerous",88,86
"1313","option",88,57
"1344","aims",88,82
"1873","interactions",88,71
"2031","argue",88,83
"2123","sets",88,77
"2424","mission",88,54
"2946","meaningful",88,78
"3412","identity",88,51
"3638","debate",88,74
"191","government",87,67
"259","investigation",87,78
"500","link",87,77
"512","papers",87,75
"2174","responsibilities",87,67
"2406","dynamic",87,78
"2652","restricted",87,48
"3003","functions",87,67
"3128","trends",87,73
"3435","administration",87,75
"4312","status",87,70
"336","risks",86,59
"1092","selling",86,52
"1623","special",86,74
"1681","dynamics",86,74
"1905","manage",86,80
"1975","fully",86,82
"2193","proposes",86,85
"729","balance",85,73
"1174","produce",85,79
"1496","australia",85,61
"1778","primarily",85,80
"1984","decade",85,78
"2109","amount",85,77
"2288","campus",85,70
"2397","details",85,82
"2626","influenced",85,80
"3072","statistically",85,72
"3275","manner",85,81
"3336","facing",85,79
"3390","central",85,74
"6037","hotel",85,59
"2","inc",84,75
"507","lectures",84,69
"1335","constructs",84,61
"1500","highlights",84,84
"1866","promotion",84,68
"2022","outlines",84,79
"2351","staff",84,67
"2391","prepared",84,76
"2478","clear",84,81
"2521","scholars",84,71
"2953","attendance",84,33
"6339","interdisciplinary",84,58
"745","technological",83,68
"758","document",83,74
"770","executive",83,63
"924","recognition",83,71
"1044","assigned",83,79
"1099","supporting",83,78
"1756","seek",83,81
"2410","contexts",83,74
"2499","reveal",83,80
"2617","confidence",83,66
"3031","generation",83,67
"3379","categories",83,68
"4552","network",83,56
"4712","groupproject",83,46
"295","supported",82,78
"535","choices",82,73
"826","defined",82,78
"927","plans",82,76
"1076","purposes",82,74
"1395","transactions",82,58
"1445","sector",82,63
"2576","efficiency",82,66
"8296","pbl",82,23
"89","performed",81,77
"224","themes",81,67
"345","assurance",81,57
"646","engaged",81,77
"1491","requirement",81,54
"2846","great",81,76
"2969","extensive",81,75
"3090","centered",81,64
"3197","compare",81,79
"4739","scholarship",81,52
"5653","cheating",81,20
"117","section",80,64
"243","generated",80,71
"475","start",80,69
"731","majority",80,78
"1215","stage",80,67
"2006","lessons",80,65
"2038","guide",80,66
"2043","substantial",80,75
"2461","directly",80,78
"3132","site",80,50
"3566","attempt",80,76
"4747","mentoring",80,34
"1002","return",79,61
"1200","constraints",79,68
"1865","retention",79,62
"1914","collegiate",79,62
"2027","incorporated",79,76
"2338","description",79,74
"3818","seen",79,71
"3829","done",79,72
"3840","behavioral",79,59
"953","deal",78,74
"1340","visual",78,49
"1513","broad",78,77
"1629","reveals",78,73
"1862","ratings",78,49
"2124","beginning",78,71
"2524","productivity",78,48
"2909","helping",78,72
"4011","views",78,71
"4086","score",78,55
"5031","food",78,43
"6683","undergraduates",78,68
"538","fact",77,73
"1377","driven",77,61
"1715","administered",77,75
"1812","manager",77,65
"2009","chinese",77,40
"2269","ensure",77,72
"2704","attempts",77,71
"2748","observed",77,71
"3411","typical",77,73
"3590","influences",77,66
"4022","optimal",77,68
"333","auditor",76,51
"1108","contrast",76,74
"1350","combined",76,70
"2099","detail",76,73
"2317","determining",76,71
"2668","becoming",76,70
"2997","secondary",76,57
"3348","customers",76,54
"2023","classrooms",75,61
"2377","led",75,65
"2386","answer",75,69
"2498","explored",75,70
"2540","male",75,57
"3172","run",75,59
"3380","flexibility",75,49
"844","call",74,70
"1185","initiative",74,49
"1196","reduce",74,70
"1301","enable",74,73
"2064","source",74,66
"2341","initiatives",74,63
"2346","give",74,69
"2750","generic",74,44
"2772","employee",74,52
"2919","come",74,74
"2947","easy",74,69
"3234","utilized",74,71
"3816","communities",74,57
"4083","paradigm",74,54
"8348","sustainable",74,42
"549","health",73,42
"603","held",73,69
"617","reading",73,54
"732","auditors",73,53
"897","completing",73,70
"1115","evaluated",73,69
"1142","larger",73,64
"1520","efficient",73,65
"1665","advance",73,63
"1912","accredited",73,55
"1972","steps",73,66
"2148","respond",73,68
"2675","labor",73,48
"2815","week",73,58
"2971","fields",73,64
"3039","structural",73,57
"3157","computing",73,50
"3454","consideration",73,68
"3485","list",73,58
"3839","drawing",73,69
"5998","intention",73,47
"6647","digital",73,40
"265","consequences",72,65
"1010","communications",72,53
"1149","rankings",72,39
"1426","additionally",72,71
"1512","takes",72,67
"1536","embedded",72,66
"2285","mode",72,46
"3740","deep",72,59
"3763","items",72,53
"3838","reviewed",72,68
"4001","responsible",72,61
"4097","capacity",72,56
"81","later",71,67
"239","judgment",71,47
"571","appreciation",71,67
"577","recognize",71,68
"803","scenario",71,59
"1330","think",71,65
"1345","achieved",71,67
"1498","hour",71,47
"1689","generate",71,68
"3190","enables",71,69
"3267","though",71,68
"3945","shared",71,64
"4322","integrative",71,51
"316","contemporary",70,66
"683","fair",70,35
"848","curricular",70,54
"1267","completion",70,61
"1985","century",70,63
"2428","next",70,70
"2471","assumptions",70,62
"2579","moreover",70,69
"2870","gives",70,70
"3061","modern",70,61
"3825","focusing",70,69
"75","relating",69,64
"384","per",69,59
"590","light",69,66
"1013","flows",69,45
"1104","studied",69,69
"1322","legal",69,52
"1479","write",69,63
"1514","argues",69,67
"1591","opinions",69,62
"1806","variable",69,59
"1847","relation",69,64
"1851","english",69,42
"2020","progress",69,66
"2247","exists",69,68
"2467","comparison",69,63
"2493","text",69,56
"3076","scenarios",69,57
"3133","acceptance",69,49
"3853","interests",69,57
"4779","alone",69,58
"6218","optimization",69,44
"7490","macroeconomics",69,48
"421","debt",68,33
"951","cpa",68,34
"1094","accountancy",68,42
"1381","acquisition",68,50
"1570","publications",68,45
"1608","introducing",68,65
"1634","demonstrated",68,67
"1691","upper",68,60
"2308","preferred",68,52
"2479","mixed",68,57
"3238","improvements",68,67
"3373","emerged",68,64
"3701","idea",68,63
"4298","presentations",68,52
"4802","experiments",68,39
"5217","starting",68,60
"6092","networking",68,42
"8154","economists",68,47
"427","obtain",67,65
"442","exposure",67,61
"666","add",67,63
"1337","difficulty",67,59
"1792","hours",67,35
"1820","unit",67,48
"2814","intervention",67,47
"3083","resulted",67,65
"3264","poor",67,57
"3824","enrollment",67,39
"3864","sites",67,49
"3966","patterns",67,56
"4153","empirically",67,64
"4514","difficulties",67,57
"5077","trust",67,40
"919","professionalaccounting",66,48
"1008","critically",66,63
"1059","modified",66,59
"1182","target",66,43
"1216","cycle",66,48
"1448","usa",66,52
"2145","original",66,61
"2245","validity",66,55
"2429","considers",66,61
"3280","search",66,51
"3743","book",66,44
"6845","undertaken",66,61
"525","choose",65,60
"1137","coursework",65,57
"1347","separate",65,63
"1544","conflict",65,44
"2018","changed",65,64
"2208","utilizing",65,63
"2601","impacts",65,59
"2715","eight",65,59
"4020","linear",65,49
"12180","youth",65,26
"33","controls",64,43
"70","annual",64,58
"131","according",64,62
"350","event",64,46
"447","compliance",64,40
"835","institute",64,55
"900","gained",64,63
"995","motivate",64,62
"1093","prices",64,48
"1648","get",64,57
"1779","allowing",64,63
"1895","conventional",64,56
"1906","date",64,60
"2248","derived",64,63
"4049","demographic",64,56
"4277","trend",64,57
"5056","input",64,52
"5497","probability",64,41
"9243","sought",64,64
"278","presence",63,55
"496","contributes",63,62
"578","occur",63,61
"903","thought",63,56
"1183","goal",63,59
"1688","develops",63,62
"1810","tend",63,60
"1860","usage",63,53
"2036","observations",63,57
"2983","barriers",63,49
"2999","spreadsheets",63,32
"4027","flexible",63,41
"481","explains",62,62
"491","requiring",62,60
"943","transition",62,46
"984","rapidly",62,59
"1048","receive",62,59
"1121","adopt",62,57
"1150","largely",62,61
"1328","exposed",62,57
"1348","modules",62,43
"1452","matter",62,59
"2458","comparing",62,61
"2586","playing",62,56
"3071","phase",62,37
"3085","fit",62,52
"3147","uncertainty",62,46
"3633","conducting",62,61
"3742","mapping",62,37
"4558","meeting",62,51
"5906","bring",62,59
"6011","hand",62,57
"306","strengths",61,52
"534","know",61,58
"709","placed",61,55
"825","bodies",61,51
"1154","incentives",61,48
